users,concurrency,variant,complexity,p50_duration
100000,10,neo4j_normal,easy,292.57
100000,10,neo4j_normal,medium,120.83500000000001
100000,10,neo4j_normal,update,45.614999999999995
100000,10,neo4j_normal,very_complex,925.5699999999999
100000,10,neo4j_optimized,complex,338.48
100000,10,neo4j_optimized,create,68.925
100000,10,neo4j_optimized,delete,67.205
100000,10,neo4j_optimized,easy,292.71500000000003
100000,10,neo4j_optimized,medium,123.36500000000001
100000,10,neo4j_optimized,update,54.910000000000004
100000,10,neo4j_optimized,very_complex,976.61
100000,10,postgres_normal,complex,162.73000000000002
100000,10,postgres_normal,create,98.27
100000,10,postgres_normal,delete,97.85499999999999
100000,10,postgres_normal,easy,98.5
100000,10,postgres_normal,medium,106.18
100000,10,postgres_normal,update,97.67500000000001
100000,10,postgres_normal,very_complex,488.26
100000,10,postgres_optimized,complex,100.66
100000,10,postgres_optimized,create,98.715
100000,10,postgres_optimized,delete,97.405
100000,10,postgres_optimized,easy,98.05
100000,10,postgres_optimized,medium,105.70500000000001
100000,10,postgres_optimized,update,98.045
100000,10,postgres_optimized,very_complex,408.4
