users,concurrency,complexity,variant_1,variant_2,t_stat,p_value,significant
1000,10,update,neo4j_normal,postgres_optimized,2.837212110521241,0.005021761585285858,True
1000,10,update,neo4j_optimized,postgres_normal,2.714394444927876,0.0072222551122669365,True
1000,10,update,neo4j_optimized,postgres_optimized,2.7027945270990146,0.007469895277999263,True
1000,10,update,postgres_normal,postgres_optimized,-0.42917004091589,0.6680383135363881,False
1000,10,very_complex,neo4j_normal,neo4j_optimized,1.1048040558631855,0.27014923417315095,False
1000,10,very_complex,neo4j_normal,postgres_normal,-56.56415407956136,9.109896164481846e-116,True
1000,10,very_complex,neo4j_normal,postgres_optimized,-55.78887617950951,1.0682230501168884e-116,True
1000,10,very_complex,neo4j_optimized,postgres_normal,-64.79803718646976,1.198498017815651e-129,True
1000,10,very_complex,neo4j_optimized,postgres_optimized,-63.80749362708851,3.870984475906374e-131,True
1000,10,very_complex,postgres_normal,postgres_optimized,0.8516785136247694,0.39508018842959924,False
10000,1,complex,neo4j_normal,neo4j_optimized,-1.5281224094974117,0.12762859968503185,False
10000,1,complex,neo4j_normal,postgres_normal,11.742367346291068,7.906809621085662e-25,True
10000,1,complex,neo4j_normal,postgres_optimized,17.809555792723998,1.6798949184796993e-39,True
10000,1,complex,neo4j_optimized,postgres_normal,10.934605456562593,8.890505913552878e-22,True
10000,1,complex,neo4j_optimized,postgres_optimized,15.262258362833716,1.421337192915216e-32,True
10000,1,complex,postgres_normal,postgres_optimized,10.292277639739325,6.447549814227381e-20,True
10000,1,create,neo4j_normal,neo4j_optimized,-4.419611799826893,1.364616829034725e-05,True
10000,1,create,neo4j_normal,postgres_normal,24.465148389319786,2.377589054015653e-66,True
10000,1,create,neo4j_normal,postgres_optimized,24.093502501271725,2.6409843981199917e-64,True
10000,1,create,neo4j_optimized,postgres_normal,19.13380816908623,6.690843657646259e-48,True
10000,1,create,neo4j_optimized,postgres_optimized,18.848250146101723,7.8467906429451855e-47,True
10000,1,create,postgres_normal,postgres_optimized,-1.5810586869641812,0.11467244027516317,False
10000,1,delete,neo4j_normal,neo4j_optimized,-6.055042646009304,5.6144002603935575e-09,True
10000,1,delete,neo4j_normal,postgres_normal,33.05112389113036,1.7795129298349135e-95,True
10000,1,delete,neo4j_normal,postgres_optimized,33.76712427135957,2.714103475106847e-89,True
10000,1,delete,neo4j_optimized,postgres_normal,16.438840625846115,2.99544436752356e-39,True
10000,1,delete,neo4j_optimized,postgres_optimized,16.242915230152335,1.9383303122891112e-38,True
10000,1,delete,postgres_normal,postgres_optimized,-1.9923476361970196,0.04717628151575747,True
10000,1,easy,neo4j_normal,neo4j_optimized,0.03757984739931958,0.9700478380480437,False
10000,1,easy,neo4j_normal,postgres_normal,6.745219305410695,3.151271502810989e-10,True
10000,1,easy,neo4j_normal,postgres_optimized,6.744287097670477,3.1667083229787344e-10,True
10000,1,easy,neo4j_optimized,postgres_normal,6.711990980790546,3.7542720505079155e-10,True
10000,1,easy,neo4j_optimized,postgres_optimized,6.711056052479403,3.7726727068592543e-10,True
