users,concurrency,variant,query_no,p50_duration
1000,10,neo4j_optimized,13,12.565000000000001
1000,10,neo4j_optimized,14,12.65
1000,10,neo4j_optimized,15,12.8
1000,10,neo4j_optimized,16,16.735
1000,10,neo4j_optimized,17,495.1
1000,10,neo4j_optimized,18,4.66
1000,10,neo4j_optimized,19,23.6
1000,10,neo4j_optimized,20,22.88
1000,10,neo4j_optimized,21,12.195
1000,10,neo4j_optimized,22,12.004999999999999
1000,10,neo4j_optimized,23,13.185
1000,10,neo4j_optimized,24,14.915
1000,10,postgres_normal,1,175.44
1000,10,postgres_normal,2,85.52
1000,10,postgres_normal,3,97.19999999999999
1000,10,postgres_normal,4,101.975
1000,10,postgres_normal,5,134.51
1000,10,postgres_normal,6,85.7
1000,10,postgres_normal,7,104.59
1000,10,postgres_normal,8,98.83
1000,10,postgres_normal,9,98.905
1000,10,postgres_normal,10,100.31
1000,10,postgres_normal,11,105.88
1000,10,postgres_normal,12,102.555
1000,10,postgres_normal,13,97.49000000000001
1000,10,postgres_normal,14,97.305
1000,10,postgres_normal,15,97.665
1000,10,postgres_normal,16,98.1
1000,10,postgres_normal,17,97.04
1000,10,postgres_normal,18,97.555
1000,10,postgres_normal,19,97.06
1000,10,postgres_normal,20,97.61
1000,10,postgres_normal,21,97.235
1000,10,postgres_normal,22,86.0
1000,10,postgres_normal,23,98.46000000000001
1000,10,postgres_normal,24,96.87
1000,10,postgres_optimized,1,167.59
1000,10,postgres_optimized,2,85.825
1000,10,postgres_optimized,3,98.105
1000,10,postgres_optimized,4,103.08000000000001
1000,10,postgres_optimized,5,142.35
1000,10,postgres_optimized,6,85.69
1000,10,postgres_optimized,7,99.71000000000001
1000,10,postgres_optimized,8,99.805
1000,10,postgres_optimized,9,98.995
1000,10,postgres_optimized,10,101.57
1000,10,postgres_optimized,11,104.03
1000,10,postgres_optimized,12,101.535
1000,10,postgres_optimized,13,97.93
1000,10,postgres_optimized,14,97.845
1000,10,postgres_optimized,15,98.965
1000,10,postgres_optimized,16,98.905
1000,10,postgres_optimized,17,97.32499999999999
1000,10,postgres_optimized,18,97.23
1000,10,postgres_optimized,19,97.065
1000,10,postgres_optimized,20,97.92500000000001
1000,10,postgres_optimized,21,97.29499999999999
1000,10,postgres_optimized,22,86.16499999999999
1000,10,postgres_optimized,23,97.535
1000,10,postgres_optimized,24,97.945
10000,1,neo4j_normal,1,1397.98
10000,1,neo4j_normal,2,9.47
10000,1,neo4j_normal,3,25.505000000000003
10000,1,neo4j_normal,4,544.56
10000,1,neo4j_normal,5,17.83
10000,1,neo4j_normal,6,10.31
10000,1,neo4j_normal,7,65.88499999999999
10000,1,neo4j_normal,8,14.155000000000001
10000,1,neo4j_normal,9,28.47
10000,1,neo4j_normal,10,43.925
10000,1,neo4j_normal,11,186.285
10000,1,neo4j_normal,12,44.224999999999994
10000,1,neo4j_normal,13,15.285
10000,1,neo4j_normal,14,15.815000000000001
10000,1,neo4j_normal,15,15.165
10000,1,neo4j_normal,16,29.075
10000,1,neo4j_normal,17,407.775
10000,1,neo4j_normal,18,3.01
10000,1,neo4j_normal,19,14.2
10000,1,neo4j_normal,20,11.46
10000,1,neo4j_normal,21,14.385000000000002
10000,1,neo4j_normal,22,12.36
10000,1,neo4j_normal,23,14.67
10000,1,neo4j_normal,24,20.81
10000,1,neo4j_optimized,1,1385.31
10000,1,neo4j_optimized,2,9.495000000000001
10000,1,neo4j_optimized,3,25.494999999999997
10000,1,neo4j_optimized,4,547.56
10000,1,neo4j_optimized,5,17.585
10000,1,neo4j_optimized,6,11.565000000000001
10000,1,neo4j_optimized,7,73.67500000000001
10000,1,neo4j_optimized,8,13.565000000000001
10000,1,neo4j_optimized,9,28.89
10000,1,neo4j_optimized,10,38.18
10000,1,neo4j_optimized,11,151.39499999999998
10000,1,neo4j_optimized,12,57.879999999999995
10000,1,neo4j_optimized,13,15.525
10000,1,neo4j_optimized,14,16.03
10000,1,neo4j_optimized,15,17.810000000000002
10000,1,neo4j_optimized,16,50.56
10000,1,neo4j_optimized,17,407.37
10000,1,neo4j_optimized,18,4.045
10000,1,neo4j_optimized,19,17.665
10000,1,neo4j_optimized,20,11.49
10000,1,neo4j_optimized,21,14.51
10000,1,neo4j_optimized,22,12.965
10000,1,neo4j_optimized,23,18.67
10000,1,neo4j_optimized,24,34.695
10000,1,postgres_normal,1,19.585
10000,1,postgres_normal,2,0.94
10000,1,postgres_normal,3,1.76
10000,1,postgres_normal,4,3.3
10000,1,postgres_normal,5,87.18
10000,1,postgres_normal,6,1.29
10000,1,postgres_normal,7,27.865000000000002
10000,1,postgres_normal,8,9.37
10000,1,postgres_normal,9,3.57
10000,1,postgres_normal,10,22.71
10000,1,postgres_normal,11,37.985
10000,1,postgres_normal,12,22.675
10000,1,postgres_normal,13,3.5700000000000003
10000,1,postgres_normal,14,2.12
10000,1,postgres_normal,15,1.93
10000,1,postgres_normal,16,2.2
10000,1,postgres_normal,17,1.8050000000000002
10000,1,postgres_normal,18,2.09
10000,1,postgres_normal,19,2.0549999999999997
10000,1,postgres_normal,20,2.185
10000,1,postgres_normal,21,2.1900000000000004
10000,1,postgres_normal,22,1.82
10000,1,postgres_normal,23,2.125
10000,1,postgres_normal,24,1.77
10000,1,postgres_optimized,1,19.725
10000,1,postgres_optimized,2,0.96
10000,1,postgres_optimized,3,1.75
10000,1,postgres_optimized,4,3.3
10000,1,postgres_optimized,5,20.475
10000,1,postgres_optimized,6,1.32
10000,1,postgres_optimized,7,2.15
10000,1,postgres_optimized,8,9.41
10000,1,postgres_optimized,9,1.51
10000,1,postgres_optimized,10,19.08
10000,1,postgres_optimized,11,41.144999999999996
10000,1,postgres_optimized,12,19.049999999999997
10000,1,postgres_optimized,13,3.4850000000000003
10000,1,postgres_optimized,14,3.47
10000,1,postgres_optimized,15,3.58
10000,1,postgres_optimized,16,3.5149999999999997
10000,1,postgres_optimized,17,3.5199999999999996
10000,1,postgres_optimized,18,3.5149999999999997
10000,1,postgres_optimized,19,3.5949999999999998
10000,1,postgres_optimized,20,3.47
10000,1,postgres_optimized,21,3.4
10000,1,postgres_optimized,22,3.42
10000,1,postgres_optimized,23,3.5
10000,1,postgres_optimized,24,3.525
10000,3,neo4j_normal,1,3290.92
10000,3,neo4j_normal,2,23.3
10000,3,neo4j_normal,3,81.85499999999999
10000,3,neo4j_normal,4,934.775
10000,3,neo4j_normal,5,15.129999999999999
10000,3,neo4j_normal,6,22.9
10000,3,neo4j_normal,7,132.565
10000,3,neo4j_normal,8,37.015
10000,3,neo4j_normal,9,49.565
10000,3,neo4j_normal,10,46.285
10000,3,neo4j_normal,11,191.625
10000,3,neo4j_normal,12,46.120000000000005
10000,3,neo4j_normal,13,14.309999999999999
10000,3,neo4j_normal,14,15.425
10000,3,neo4j_normal,15,14.485
10000,3,neo4j_normal,16,28.700000000000003
10000,3,neo4j_normal,17,423.775
10000,3,neo4j_normal,18,3.395
10000,3,neo4j_normal,19,15.57
10000,3,neo4j_normal,20,12.915
10000,3,neo4j_normal,21,14.455
10000,3,neo4j_normal,22,13.485
10000,3,neo4j_normal,23,15.02
10000,3,neo4j_normal,24,21.525
10000,3,neo4j_optimized,1,3307.285
10000,3,neo4j_optimized,2,23.325
10000,3,neo4j_optimized,3,81.705
10000,3,neo4j_optimized,4,941.49
10000,3,neo4j_optimized,5,12.93
10000,3,neo4j_optimized,6,24.27
10000,3,neo4j_optimized,7,138.625
10000,3,neo4j_optimized,8,36.48
10000,3,neo4j_optimized,9,49.224999999999994
10000,3,neo4j_optimized,10,37.445
10000,3,neo4j_optimized,11,160.055
10000,3,neo4j_optimized,12,57.735
10000,3,neo4j_optimized,13,14.25
10000,3,neo4j_optimized,14,15.425
10000,3,neo4j_optimized,15,17.509999999999998
10000,3,neo4j_optimized,16,50.4
10000,3,neo4j_optimized,17,431.23
10000,3,neo4j_optimized,18,3.59
10000,3,neo4j_optimized,19,18.84
10000,3,neo4j_optimized,20,13.055
10000,3,neo4j_optimized,21,14.42
10000,3,neo4j_optimized,22,13.015
10000,3,neo4j_optimized,23,18.884999999999998
10000,3,neo4j_optimized,24,34.80500000000001
10000,3,postgres_normal,1,57.379999999999995
10000,3,postgres_normal,2,23.12
10000,3,postgres_normal,3,24.32
10000,3,postgres_normal,4,26.17
10000,3,postgres_normal,5,168.52
10000,3,postgres_normal,6,23.675
10000,3,postgres_normal,7,59.195
10000,3,postgres_normal,8,40.93
10000,3,postgres_normal,9,26.935000000000002
10000,3,postgres_normal,10,49.724999999999994
10000,3,postgres_normal,11,64.865
10000,3,postgres_normal,12,49.575
10000,3,postgres_normal,13,24.705
10000,3,postgres_normal,14,24.625
10000,3,postgres_normal,15,24.67
10000,3,postgres_normal,16,24.605
10000,3,postgres_normal,17,24.225
10000,3,postgres_normal,18,24.295
10000,3,postgres_normal,19,24.384999999999998
10000,3,postgres_normal,20,24.165
10000,3,postgres_normal,21,24.06
10000,3,postgres_normal,22,24.075
10000,3,postgres_normal,23,24.115000000000002
10000,3,postgres_normal,24,24.174999999999997
10000,3,postgres_optimized,1,54.6
10000,3,postgres_optimized,2,23.115000000000002
10000,3,postgres_optimized,3,24.215
10000,3,postgres_optimized,4,26.605
10000,3,postgres_optimized,5,48.94
10000,3,postgres_optimized,6,23.785
10000,3,postgres_optimized,7,25.43
10000,3,postgres_optimized,8,43.575
10000,3,postgres_optimized,9,24.69
10000,3,postgres_optimized,10,44.28
10000,3,postgres_optimized,11,67.105
10000,3,postgres_optimized,12,43.980000000000004
10000,3,postgres_optimized,13,25.8
10000,3,postgres_optimized,14,25.81
10000,3,postgres_optimized,15,25.955
10000,3,postgres_optimized,16,25.975
10000,3,postgres_optimized,17,24.880000000000003
10000,3,postgres_optimized,18,25.02
10000,3,postgres_optimized,19,24.745
10000,3,postgres_optimized,20,25.175
10000,3,postgres_optimized,21,24.515
10000,3,postgres_optimized,22,24.525
10000,3,postgres_optimized,23,24.57
10000,3,postgres_optimized,24,24.75
10000,5,neo4j_normal,1,5340.645
10000,5,neo4j_normal,2,37.065
10000,5,neo4j_normal,3,135.10000000000002
10000,5,neo4j_normal,4,1222.35
10000,5,neo4j_normal,5,17.505
10000,5,neo4j_normal,6,36.16
10000,5,neo4j_normal,7,195.755
10000,5,neo4j_normal,8,59.305
10000,5,neo4j_normal,9,71.455
10000,5,neo4j_normal,10,50.144999999999996
10000,5,neo4j_normal,11,202.27499999999998
10000,5,neo4j_normal,12,49.785
10000,5,neo4j_normal,13,13.955
10000,5,neo4j_normal,14,15.08
10000,5,neo4j_normal,15,14.145
10000,5,neo4j_normal,16,29.09
10000,5,neo4j_normal,17,453.245
10000,5,neo4j_normal,18,2.745
10000,5,neo4j_normal,19,18.255
10000,5,neo4j_normal,20,16.285
10000,5,neo4j_normal,21,14.3
10000,5,neo4j_normal,22,12.465
10000,5,neo4j_normal,23,14.690000000000001
10000,5,neo4j_normal,24,20.84
10000,5,neo4j_optimized,1,5380.700000000001
10000,5,neo4j_optimized,2,37.07
10000,5,neo4j_optimized,3,134.845
10000,5,neo4j_optimized,4,1234.53
10000,5,neo4j_optimized,5,14.16
10000,5,neo4j_optimized,6,37.379999999999995
10000,5,neo4j_optimized,7,201.735
