users,concurrency,variant,complexity,duration_ms_mean,duration_ms_std,duration_ms_var,avg_cpu_mean,avg_cpu_std,avg_cpu_var,avg_mem_mean,avg_mem_std,avg_mem_var
1000,10,postgres_optimized,complex,100.03826666666667,4.207142336529752,17.700046639821018,8.599866666666667,0.6244589461217598,0.3899489753914989,5449.564666666666,1908.3932282637074,3641964.713682775
1000,10,postgres_optimized,very_complex,102.9706,5.6155195101724615,31.53405936912756,9.818333333333333,0.7209300635980944,0.5197401565995524,5450.946533333333,1908.2365045065887,3641366.557131524
1000,10,postgres_optimized,create,98.46095,4.115925999293268,16.940846831658288,7.88825,0.43228670634477295,0.18687179648241198,5451.50625,1906.5837112238098,3635061.447903956
1000,10,postgres_optimized,update,97.71265,3.76007597452111,14.138171334170876,7.6479,0.4290489541126115,0.18408300502512584,5458.11395,1909.3389119941937,3645575.080855171
1000,10,postgres_optimized,delete,95.0254,5.959226859569881,35.512384763819114,7.662050000000001,0.40858414373610097,0.16694100251256283,5487.31565,1923.237918027374,3698844.0893382686
10000,1,neo4j_normal,easy,657.7392666666667,1171.7680349246905,1373040.3276712708,18.129666666666665,13.698816605758704,187.6575763982104,4658.647533333334,405.2394013319305,164218.97239186143
10000,1,neo4j_normal,medium,202.8038,281.549116262178,79269.90486801344,24.265133333333335,9.112721231176582,83.04168823713644,7315.2026,28.054069736226943,787.0308287650845
10000,1,neo4j_normal,complex,37.0796,22.212621929733743,493.40057299328845,17.700533333333333,7.438496256588698,55.33122655928406,7347.5874,17.92578838343731,321.333889167776
10000,1,neo4j_normal,very_complex,95.48866666666666,67.49422204121286,4555.470008948545,13.613733333333332,4.3457577164119385,18.885610129753907,7363.261333333333,17.18368149203493,295.27890961970377
10000,1,neo4j_normal,create,18.67785,8.52090228533818,72.60577575628142,25.7284,11.238028647382823,126.29328787939701,7379.1702000000005,17.902133613051017,320.4863878995311
10000,1,neo4j_normal,update,109.15870000000001,173.7218747195944,30179.289756090457,49.89535,123.0643881920473,15144.84364108291,7393.277950000001,18.89461440636796,357.0064535653277
10000,1,neo4j_normal,delete,14.46015,4.616683692770762,21.31376831909548,27.595399999999998,11.270986671215327,127.03514054271356,7398.98275,20.393997686714517,415.91514164571703
10000,1,neo4j_optimized,easy,652.6620666666666,1168.3049933366851,1364936.557455432,18.29693333333333,14.850254102481799,220.53004690827748,4704.8628,334.67652380781146,112008.3755880806
10000,1,neo4j_optimized,medium,202.97546666666668,270.9511409448408,73414.52077931097,23.865133333333333,9.573781292526817,91.65728823713646,7300.341466666667,36.11453637293191,1304.2597374318216
10000,1,neo4j_optimized,complex,41.71293333333333,29.7589049680067,885.5924248948539,17.9494,8.507695784232475,72.38088755704702,7335.388466666667,26.813080042984815,718.9412613915106
10000,1,neo4j_optimized,very_complex,83.21693333333334,50.54283553669587,2554.5782240894864,13.599266666666667,3.3774691880653918,11.407298116331097,7347.2411999999995,27.684959207764493,766.4569663355841
10000,1,neo4j_optimized,create,24.1158,15.171608281564817,230.17769784924616,24.043400000000002,10.115390355801958,102.32112205025126,7358.8352,29.94099901590347,896.4634220703325
10000,1,neo4j_optimized,update,119.583,203.4677821322804,41399.13836582912,34.1684,26.04667434939279,678.4292446633164,7374.9604,22.920250133252296,525.3378661708518
10000,1,neo4j_optimized,delete,21.612800000000004,16.055116223332796,257.7667569447239,23.9317,10.87467206737124,118.25849257286428,7380.0412,20.61106970859769,424.8161945326733
10000,1,postgres_normal,easy,12.272066666666666,22.784631942324708,519.1394527472034,151.2558,110.90965535682243,12300.95165136913,2547.027666666667,17.63587977938302,311.02425559285086
10000,1,postgres_normal,medium,30.64286666666667,40.24953848310447,1620.0253481029079,109.78986666666667,68.56311766057469,4700.901103337809,2550.818,17.843890688393262,318.4044348993277
