users,concurrency,variant,query_no,n,mean,std,ci_lower,ci_upper
1000,1,neo4j_optimized,22,50,10.6208,3.2649166880016764,9.69292094381439,11.548679056185609
1000,1,neo4j_optimized,23,50,11.341800000000001,2.931152653402927,10.508775632924923,12.174824367075079
1000,1,neo4j_optimized,24,50,12.5188,3.328011994680111,11.57298945605984,13.46461054394016
1000,1,postgres_normal,1,50,34.834599999999995,30.555419988163496,26.15084572101256,43.51835427898743
1000,1,postgres_normal,2,50,0.9612,0.039828202498803714,0.9498809500897929,0.9725190499102072
1000,1,postgres_normal,3,50,1.7813999999999999,0.05383307533477911,1.766100809268191,1.7966991907318088
1000,1,postgres_normal,4,50,3.456200000000001,0.4295127281856376,3.3341338332542505,3.578266166745751
1000,1,postgres_normal,5,50,17.3062,0.8365255891032204,17.068462058035152,17.54393794196485
1000,1,postgres_normal,6,50,1.014,0.05086998232789959,0.9995429109832876,1.0284570890167124
1000,1,postgres_normal,7,50,4.079599999999999,0.1534894797963797,4.035978772490193,4.123221227509806
1000,1,postgres_normal,8,50,1.9853999999999998,0.07664415522799013,1.9636179720920783,2.007182027907921
1000,1,postgres_normal,9,50,1.5088,0.050168695011766816,1.4945422146333316,1.5230577853666682
1000,1,postgres_normal,10,50,3.1053999999999995,0.07825155667748077,3.0831611536546135,3.1276388463453855
1000,1,postgres_normal,11,50,4.6536,0.1858764127487039,4.600774507985992,4.706425492014008
1000,1,postgres_normal,12,50,3.1358000000000006,0.11837488012622431,3.1021582312984437,3.1694417687015575
1000,1,postgres_normal,13,50,2.2626000000000004,1.5048354849400296,1.834930487141652,2.6902695128583485
1000,1,postgres_normal,14,50,3.19,2.8539939790849354,2.378903885540315,4.001096114459685
1000,1,postgres_normal,15,50,3.3316000000000003,2.8031413573681503,2.5349560407259397,4.1282439592740605
1000,1,postgres_normal,16,50,2.9576,3.0326620353096,2.095726985783731,3.8194730142162685
1000,1,postgres_normal,17,50,2.6762,1.8717261377386054,2.1442613173055207,3.2081386826944795
1000,1,postgres_normal,18,50,2.7601999999999998,1.793974597686059,2.250358060498405,3.2700419395015947
1000,1,postgres_normal,19,50,2.6009999999999995,1.8277634933861389,2.0815553625897687,3.1204446374102304
